2020-06-15 17:05:41,"On the 12th day of @mumbai_pyc's COVID 19 medical check up camp, a total of 606 people were screened today  at the Sardar Nagar and MMRDA building medical camps.

We are happy to report that the team found no suspected patients. #IYCFightsCorona https://t.co/ebpTTKLgys"
2020-06-15 17:05:37,"After 60 portraits, I am happy to complete my Planet Hope Series. 2 months I posted a B&amp;W portrait every day of people living through Covid-19 along with their amazing stories. 2nd installment coming soon!
Thank you for following along.  Stay tuned!
#planethopeFor  #nikonnofilter https://t.co/JPkOZDHXTQ"
2020-06-15 17:05:01,Happy Monday 💚 #womensupportingwomen #running #runwalk #powerwalking #walking #endurancewalking  #oxted #oxtedladiesrunclub #oxtedlife #oxtedmums #runnersofinstagram #runclub #runningmotivation #runhappy #strongwomen #womenshealth #covid_19 #lockdown2020 https://t.co/ZWFNFRefb3
2020-06-15 17:04:26,@khadijapatel Hi @khadijapatel. We happy to hear that you have recovered.🙂 Many have defeated COVID-19. Share your story of recovery and inspire others. #GAUTENGCOVID19 https://t.co/rWsakHsGOL
2020-06-15 17:04:21,Renewable energies offer sustainable growth 💪Happy #GlobalWindDay 🌱#GreenRecovery https://t.co/fHstUCsyEu
2020-06-15 17:02:51,"A doctor in Mumbai describes the resumption of local trains for essential staff as a ‘great relief’.

He is happy as the trains will ease transportation of his staff &amp; help them fight COVID-19 👩🏻‍⚕️👨🏻‍⚕️ https://t.co/FWvdhZDLhb"
2020-06-15 17:01:58,"It’s National Public Service Week! Thank you to all public service employees who are leading progress throughout Canada, protecting and serving Canadians in so many different ways. You were ready when COVID-19 struck, and you delivered!

https://t.co/2q2BFS5i5a https://t.co/vnhH1RUMnv"
2020-06-15 15:23:51,"Meat consumption is going down for the first time since 2014; an unexpected silver lining to COVID-19. We're happy to share this #GoodNewsMonday @Bloomberg #MeatlessMonday

https://t.co/TZxhW0e7qH"
2020-06-15 15:00:22,ETEnergyworld | Improved solar power yield: A silver lining in times of COVID-19 https://t.co/MUbPYg4ZS1
2020-06-15 17:13:09,"My brother, father, mother and sisters after spending almost 16 days in isolation their tests came back negative, i don't even remember the last time i felt this happy, i feel like there's a party going on inside my body which tells me I'll also be covid negative soon."
